CENTRE_CODE,SCHOOL,LOCALITY,YR3ENR,YR5ENR,YR7ENR,YR9ENR,YR3READMEAN,YR3WRITMEAN,YR3SPELMEAN,YR3GPMEAN,YR3NMCYMEAN,YR5READMEAN,YR5WRITMEAN,YR5SPELMEAN,YR5GPMEAN,YR5NMCYMEAN,YR7READMEAN,YR7WRITMEAN,YR7SPELMEAN,YR7GPMEAN,YR7NMCYMEAN,YR9READMEAN,YR9WRITMEAN,YR9SPELMEAN,YR9GPMEAN,YR9NMCYMEAN,YR3READPCTNMS,YR3WRITPCTNMS,YR3SPELPCTNMS,YR3GPPCTNMS,YR3NMCYPCTNMS,YR5READPCTNMS,YR5WRITPCTNMS,YR5SPELPCTNMS,YR5GPPCTNMS,YR5NMCYPCTNMS,YR7READPCTNMS,YR7WRITPCTNMS,YR7SPELPCTNMS,YR7GPPCTNMS,YR7NMCYPCTNMS,YR9READPCTNMS,YR9WRITPCTNMS,YR9SPELPCTNMS,YR9GPPCTNMS,YR9NMCYPCTNMS
"5817","A B Paterson College","Arundel ","102","103","109","112","478","459","469","499","457","552","524","537","565","532","591","552","579","594","592","625","620","615","624","624","98%","98%","99%","99%","100%","100%","97%","100%","100%","99%","100%","98%","100%","100%","100%","99%","96%","97%","99%","100%"
"591","Abercorn State School","Abercorn ","3","3","1","--","^","^","^","^","^","^","^","^","^","^","^","^","^","^","^","--","--","--","--","--","^","^","^","^","^","^","^","^","^","^","^","^","^","^","^","--","--","--","--","--"
"1275","Abergowrie State School","Abergowrie ","--","2","--","--","--","--","--","--","--","^","^","^","^","^","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","^","^","^","^","^","--","--","--","--","--","--","--","--","--","--"
"5588","Aboriginal and Islander Independent Community School","Acacia Ridge ","3","13","3","15","^","^","^","^","^","391","363","440","408","377","^","^","^","^","^","485","407","524","488","494","^","^","^","^","^","45%","22%","89%","44%","36%","^","^","^","^","^","69%","38%","86%","57%","69%"
"25","Acacia Ridge State School","Acacia Ridge ","35","27","22","--","371","390","371","380","361","431","428","454","436","430","491","507","529","505","519","--","--","--","--","--","88%","85%","73%","82%","85%","67%","67%","78%","74%","70%","68%","90%","70%","80%","84%","--","--","--","--","--"
"1983","Agnes Water State School","Agnes Water ","34","38","26","--","387","374","371","408","374","510","451","487","510","490","537","458","526","535","555","--","--","--","--","--","87%","90%","90%","97%","90%","100%","85%","94%","97%","94%","96%","83%","92%","96%","100%","--","--","--","--","--"
"2421","Agnew School","Wakerley ","18","14","13","12","435","393","394","430","418","545","467","503","550","493","541","513","546","546","550","611","589","630","600","619","94%","100%","89%","94%","100%","100%","100%","100%","100%","93%","92%","92%","85%","92%","92%","100%","92%","100%","100%","100%"
"2425","Agnew School (Darling Downs)","Toowoomba ","9","7","7","12","436","373","422","449","440","530","472","545","548","532","589","523","539","591","593","575","549","568","567","632","89%","89%","100%","100%","100%","100%","100%","100%","86%","100%","100%","86%","86%","100%","100%","92%","92%","100%","92%","100%"
"2424","Agnew School (Nambour)","Nambour Heights ","10","2","2","8","469","425","452","455","454","^","^","^","^","^","^","^","^","^","^","621","580","626","600","642","100%","100%","100%","100%","100%","^","^","^","^","^","^","^","^","^","^","100%","100%","100%","100%","100%"
"2423","Agnew School (Wide Bay)","Maryborough ","4","5","3","7","^","^","^","^","^","602","472","552","583","525","^","^","^","^","^","622","567","608","556","603","^","^","^","^","^","100%","100%","100%","100%","100%","^","^","^","^","^","100%","86%","100%","100%","100%"
"598","Airville State School","Airville Via Ayr ","3","2","1","--","^","^","^","^","^","^","^","^","^","^","^","^","^","^","^","--","--","--","--","--","^","^","^","^","^","^","^","^","^","^","^","^","^","^","^","--","--","--","--","--"
"801","Aitkenvale State School","Aitkenvale ","58","64","37","--","374","350","365","383","362","462","414","454","455","439","483","439","486","489","478","--","--","--","--","--","67%","68%","73%","77%","75%","75%","53%","72%","74%","66%","66%","49%","68%","68%","74%","--","--","--","--","--"
"2155","Albany Creek State High School","Albany Creek ","--","--","--","229","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","581","555","571","569","578","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","95%","80%","93%","92%","98%"
"190","Albany Creek State School","Albany Creek ","108","118","65","--","426","372","413","440","406","521","486","501","529","504","546","503","551","560","565","--","--","--","--","--","92%","92%","93%","94%","96%","96%","93%","96%","93%","96%","95%","85%","95%","95%","98%","--","--","--","--","--"
"1892","Albany Hills State School","Albany Creek ","102","105","56","--","443","409","436","453","416","519","473","513","546","509","548","517","557","550","558","--","--","--","--","--","100%","97%","100%","100%","99%","96%","91%","97%","96%","97%","100%","96%","96%","98%","100%","--","--","--","--","--"
"38","Albert State School","Maryborough ","18","15","12","--","334","308","348","346","321","442","406","417","424","447","472","408","475","456","482","--","--","--","--","--","71%","65%","82%","88%","82%","86%","71%","64%","64%","80%","73%","64%","64%","45%","64%","--","--","--","--","--"
"2017","Aldridge State High School","Maryborough ","--","--","--","218","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","566","532","563","565","578","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","76%","66%","76%","75%","86%"
"1963","Alexandra Bay State School","Cape Tribulation Via Mossman ","9","5","3","--","478","448","457","507","428","571","536","581","551","533","^","^","^","^","^","--","--","--","--","--","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","^","^","^","^","^","--","--","--","--","--"
"2175","Alexandra Hills State High School","Alexandra Hills ","--","--","120","237","--","--","--","--","--","--","--","--","--","--","525","474","516","515","515","564","537","566","564","577","--","--","--","--","--","--","--","--","--","--","94%","77%","86%","86%","96%","93%","75%","91%","90%","96%"
"405","Alexandra Hills State School","Alexandra Hills ","19","40","4","--","440","397","421","451","379","465","434","444","475","434","^","^","^","^","^","--","--","--","--","--","100%","100%","100%","100%","86%","95%","81%","79%","95%","86%","^","^","^","^","^","--","--","--","--","--"
"1866","Algester State School","Algester ","147","132","67","--","418","384","416","430","405","495","457","491","522","498","549","521","541","543","571","--","--","--","--","--","99%","97%","98%","99%","99%","96%","96%","96%","99%","95%","100%","88%","95%","92%","100%","--","--","--","--","--"
"5369","All Hallows' School","Brisbane ","--","78","78","244","--","--","--","--","--","571","539","556","583","534","615","587","618","635","609","633","617","629","643","633","--","--","--","--","--","100%","100%","100%","100%","100%","99%","99%","99%","99%","99%","98%","98%","99%","98%","99%"
